5489Konstantin;Konstantin;Konstantin;5489;1995,1,1;True;22
5849Konstantin;Konstantin;Konstantin;5849;1995,1,1;True;24
5850Konstantin;Konstantin;Konstantin;5850;1995,1,2;True;15
5856Konstantin;Konstantin;Konstantin;5856;1995,1,8;True;10
5857Konstantin;Konstantin;Konstantin;5857;1995,1,9;True;8
5858Konstantin;Konstantin;Konstantin;5858;1995,1,10;True;1
5859Konstantin;Konstantin;Konstantin;5859;1995,1,11;True;0
7895Jonas;Jonas;AHA;7895;1995,8,6;True;5
4875Birthday;Birthday;Test;4875;1900,9,30;True;4
1234Aya;Aya;Metwalli;1234;1998,9,15;True;3
5849Konstantin;Konstantin;Konstantin;5849;1900,1,1;False;17
9638Aya;Aya;Metwalli;9638;1900,1,1;False;22
8524Metwalli;Metwalli;Aya;8524;1906,11,22;True;25
1234Ayaa;Ayaa;Metwalli;1234;1900,1,1;False;25
